영화코드,영화명,개봉일,제작국가,장르,감독,배우,상영시간,누적 관객수
124,뺑반 (Hit-and-Run Squad),2019-01-30,한국,범죄,한준희,"유연수,공효진,류준열,조정석",133분 5초,"1,827,020"
125,숨바꼭질 (Hide and Seek),2013-08-14,한국,스릴러,허정,"문정희,전미선,손현주",107분 17초,"5,604,106"
126,감시자들 (Cold Eyes),2013-07-03,한국,범죄,"조의석,김병서","설경구,정우성,한효주,진경,이준호",118분 41초,"5,509,019"
127,스파이 (Spy),2015-05-21,미국,액션,폴 페이그,"주드 로,제이슨 스타뎀,멜리사 맥카시",121분 36초,"2,318,748"
128,걸캅스 (Miss & Mrs. Cops),2019-05-09,한국,코미디,정다원,"이윤희,라미란,이성경,윤상현,강문봉,강성하",107분 17초,"1,629,528"
129,감기 (Flu),2013-08-14,한국,드라마,김성수,"장혁,수애,박민하,남문철",121분 23초,"3,117,859"
130,히말라야 (The Himalayas),2015-12-16,한국,드라마,이석훈,"황정민,정우",127분 55초,"7,759,761"
131,반도 (Peninsula),2020-07-15,한국,액션,연상호,"강동원,이정현",115분 35초,"3,812,250"
132,롱 리브 더 킹: 목포 영웅 (Long Live the King),2019-06-19,한국,액션,강윤성,"진선규,황정인,김래원,원진아,진선규,최귀화,주진모,신용욱",117분 37초,"1,094,404"
133,가디언즈 오브 갤럭시 VOL. 2 (Guardians of the Galaxy VOL. 2),2017-05-03,미국,액션,제임스 건,"조 샐다나,데이브 바티스타,빈 디젤,브래들리 쿠퍼,크리스 프랫",135분 34초,"2,736,060"
134,챔피언 (Champion),2018-05-01,한국,드라마,김용완,"마동석,권율,한예리,김미미",108분 0초,"1,128,774"
135,캡틴 아메리카: 시빌 워 (Captain America: Civil War),2016-04-27,미국,액션,"안소니 루소,조 루소","로버트 다우니 주니어,스칼렛 요한슨,크리스 에반스,세바스찬 스탠,안소니 마키,돈 치들,제레미 레너",147분 29초,"8,678,117"
136,담보 (Pawn),2020-09-29,한국,드라마,강대규,"성동일,하지원,김희원,박소이",113분 0초,"1,719,592"
137,늑대소년 (A Werewolf Boy),2012-10-31,한국,멜로/로맨스,조성희,"송중기,박보영",124분 0초,"6,655,170"
138,분노의 질주: 더 세븐 (Fast & Furious 7),2015-04-01,미국,액션,제임스 완,"빈 디젤,폴 워커,드웨인 존슨,제이슨 스타뎀",137분 46초,"3,248,904"
139,전설의 주먹 (Fists of Legend),2013-04-10,한국,드라마,강우석,"황정민,유준상,이요원,윤제문,정웅인,구원",153분 7초,"1,744,585"
140,용의자 (The Suspect),2013-12-24,한국,액션,원신연,"공유,박희순,조성하,유다인,김성균,조재윤",137분 32초,"4,131,338"
141,마약왕 (The Drug King),2018-12-19,한국,범죄,우민호,"송강호,조정석,배두나",139분 0초,"1,864,076"
142,오블리비언 (Oblivion),2013-04-11,미국,액션,조셉 코신스키,"톰 크루즈,모건 프리먼,올가 쿠릴렌코,안드레아 라이즈보로",124분 33초,"1,515,356"
143,끝까지 간다 (A Hard Day),2014-05-29,한국,액션,김성훈,"이선균,조진웅",110분 45초,"3,450,388"
144,인터스텔라 (Interstellar),2014-11-06,미국,SF,크리스토퍼 놀란,"매튜 매커너히,앤 해서웨이,마이클 케인,제시카 차스테인,케이시 애플렉",169분 5초,"10,326,240"
145,신비한 동물사전 (Fantastic Beasts and Where to Find Them),2016-11-16,미국,어드벤처,데이빗 예이츠,"에디 레드메인,콜린 파렐,캐서린 워터스턴,앨리슨 수돌,댄 포글러,사만다 모튼,젠 머레이",132분 40초,"4,667,179"
146,쥬만지: 새로운 세계 (Jumanji: Welcome to the Jungle),2018-01-03,미국,액션,제이크 캐스단,"드웨인 존슨,잭 블랙,케빈 하트,카렌 길런,매디슨 아이스먼",118분 19초,"1,711,246"
147,미션 임파서블: 로그네이션 (Mission: Impossible - Rogue Nation),2015-07-30,미국,액션,크리스토퍼 맥쿼리,"톰 크루즈,제레미 레너,사이먼 페그,알렉 볼드윈,레베카 퍼거슨",131분 22초,"6,126,488"
148,보헤미안 랩소디 (Bohemian Rhapsody),2018-10-31,미국,드라마,브라이언 싱어,"라미 말렉,조셉 마젤로,마이크 마이어스,루시 보인턴",134분 23초,"9,948,386"
149,"뽀로로 극장판 공룡섬 대모험 (Pororo, Dinosaur Island Adventure)",2017-12-07,한국,애니메이션,"김현호,윤제완","이선,이미자,함수정,홍소영,정미숙,김서영,김환진,엄상현",78분 36초,"827,338"
150,돈 (Money),2019-03-20,한국,범죄,박누리,"조우진,류준열,유지태,조우진,손종학,신재민",115분 4초,"3,389,125"
